Date,Daily_confirmed,Daily_deaths,Total_confirmed,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger,News_Daily_Total,News_Sum,News_Negative,News_Positive,America
20191201,0.0,0.0,0.0,64.0,70.0,134.0,13116.0,12803.0,25919.0,1142.0,851.0,1993.0,36342.0,76.0,46.0,562.0,2.0,159.0,15.0,11.0,4.0,0.0
20191202,0.0,0.0,0.0,69.0,67.0,136.0,12466.0,11660.0,24126.0,1214.0,735.0,1949.0,48456.0,130.0,50.0,656.0,0.0,339.0,11.0,7.0,4.0,0.0
20191203,0.0,0.0,0.0,73.0,71.0,144.0,11173.0,11149.0,22322.0,1555.0,947.0,2502.0,36342.0,106.0,28.0,560.0,0.0,376.0,12.0,12.0,0.0,0.0
20191204,0.0,0.0,0.0,72.0,77.0,149.0,11306.0,11202.0,22508.0,1489.0,1075.0,2564.0,60570.0,60.0,26.0,1232.0,0.0,440.0,21.0,18.0,3.0,0.0
20191205,0.0,0.0,0.0,64.0,68.0,132.0,10840.0,11054.0,21894.0,1309.0,1159.0,2468.0,96912.0,164.0,66.0,2282.0,18.0,433.0,10.0,7.0,3.0,0.0
20191206,0.0,0.0,0.0,69.0,69.0,138.0,10715.0,11288.0,22003.0,1355.0,1037.0,2392.0,48456.0,56.0,86.0,658.0,2.0,379.0,16.0,15.0,1.0,0.0
20191207,0.0,0.0,0.0,64.0,70.0,134.0,11290.0,13010.0,24300.0,1245.0,1148.0,2393.0,24228.0,42.0,42.0,238.0,4.0,183.0,1.0,1.0,0.0,0.0
20191208,0.0,0.0,0.0,65.0,71.0,136.0,11595.0,13393.0,24988.0,1101.0,1129.0,2230.0,24228.0,54.0,12.0,206.0,0.0,151.0,1.0,1.0,0.0,0.0
20191209,0.0,0.0,0.0,68.0,67.0,135.0,11093.0,12301.0,23394.0,1122.0,1088.0,2210.0,28266.0,108.0,0.0,430.0,0.0,308.0,8.0,6.0,2.0,0.0
20191210,0.0,0.0,0.0,68.0,67.0,135.0,9013.0,11059.0,20072.0,1422.0,1164.0,2586.0,40380.0,138.0,0.0,512.0,2.0,354.0,15.0,14.0,1.0,0.0
20191211,0.0,0.0,0.0,74.0,76.0,150.0,10894.0,12352.0,23246.0,1410.0,1080.0,2490.0,56532.0,146.0,28.0,586.0,0.0,404.0,26.0,25.0,1.0,0.0
20191212,0.0,0.0,0.0,66.0,67.0,133.0,10405.0,12292.0,22697.0,1184.0,1095.0,2279.0,32304.0,74.0,24.0,296.0,0.0,314.0,10.0,9.0,1.0,0.0
20191213,0.0,0.0,0.0,69.0,70.0,139.0,12003.0,12280.0,24283.0,1317.0,1150.0,2467.0,44418.0,54.0,20.0,440.0,0.0,302.0,19.0,19.0,0.0,0.0
20191214,0.0,0.0,0.0,69.0,74.0,143.0,12306.0,13975.0,26281.0,1301.0,1292.0,2593.0,16152.0,50.0,16.0,156.0,2.0,243.0,9.0,8.0,1.0,0.0
20191215,0.0,0.0,0.0,65.0,72.0,137.0,12311.0,14501.0,26812.0,1085.0,1161.0,2246.0,28266.0,110.0,28.0,296.0,0.0,144.0,2.0,2.0,0.0,0.0
20191216,0.0,0.0,0.0,71.0,70.0,141.0,12656.0,13462.0,26118.0,1284.0,1100.0,2384.0,24228.0,52.0,0.0,254.0,0.0,266.0,8.0,8.0,0.0,0.0
20191217,0.0,0.0,0.0,71.0,73.0,144.0,11607.0,13015.0,24622.0,1280.0,1214.0,2494.0,56532.0,148.0,4.0,2452.0,0.0,343.0,16.0,14.0,2.0,0.0
20191218,0.0,0.0,0.0,75.0,76.0,151.0,13259.0,13267.0,26526.0,1491.0,1137.0,2628.0,12114.0,48.0,54.0,76.0,0.0,351.0,20.0,18.0,2.0,0.0
20191219,0.0,0.0,0.0,72.0,75.0,147.0,12878.0,13810.0,26688.0,1539.0,1248.0,2787.0,32304.0,122.0,40.0,322.0,0.0,347.0,15.0,11.0,4.0,0.0
20191220,0.0,0.0,0.0,72.0,74.0,146.0,14016.0,13498.0,27514.0,1233.0,1258.0,2491.0,28266.0,56.0,30.0,282.0,0.0,364.0,15.0,13.0,2.0,0.0
20191221,0.0,0.0,0.0,69.0,75.0,144.0,13930.0,14382.0,28312.0,1437.0,1449.0,2886.0,36342.0,54.0,38.0,412.0,2.0,190.0,5.0,4.0,1.0,0.0
20191222,0.0,0.0,0.0,63.0,70.0,133.0,13256.0,14650.0,27906.0,958.0,1072.0,2030.0,52494.0,96.0,26.0,754.0,2.0,145.0,2.0,2.0,0.0,0.0
20191223,0.0,0.0,0.0,71.0,72.0,143.0,13350.0,13742.0,27092.0,1254.0,1329.0,2583.0,8076.0,8.0,0.0,90.0,0.0,235.0,6.0,4.0,2.0,0.0
20191224,0.0,0.0,0.0,72.0,73.0,145.0,11584.0,13108.0,24692.0,1366.0,1109.0,2475.0,0.0,0.0,0.0,0.0,0.0,264.0,8.0,8.0,0.0,0.0
20191225,0.0,0.0,0.0,73.0,72.0,145.0,11804.0,13591.0,25395.0,1023.0,943.0,1966.0,0.0,0.0,0.0,0.0,0.0,248.0,13.0,13.0,0.0,0.0
20191226,0.0,0.0,0.0,71.0,75.0,146.0,11986.0,13661.0,25647.0,1223.0,1163.0,2386.0,0.0,0.0,0.0,0.0,0.0,189.0,10.0,10.0,0.0,0.0
20191227,0.0,0.0,0.0,72.0,74.0,146.0,12646.0,12596.0,25242.0,1128.0,1025.0,2153.0,0.0,0.0,0.0,0.0,0.0,269.0,10.0,10.0,0.0,0.0
20191228,0.0,0.0,0.0,74.0,75.0,149.0,13209.0,14406.0,27615.0,1597.0,1116.0,2713.0,0.0,0.0,0.0,0.0,0.0,187.0,5.0,5.0,0.0,0.0
20191229,0.0,0.0,0.0,23.0,27.0,50.0,3428.0,3787.0,7215.0,297.0,302.0,599.0,0.0,0.0,0.0,0.0,0.0,116.0,5.0,4.0,1.0,0.0
20191230,0.0,0.0,0.0,27.0,26.0,53.0,3507.0,3652.0,7159.0,421.0,240.0,661.0,0.0,0.0,0.0,0.0,0.0,169.0,6.0,6.0,0.0,0.0
20191231,0.0,0.0,0.0,29.0,28.0,57.0,3002.0,3284.0,6286.0,409.0,360.0,769.0,0.0,0.0,0.0,0.0,0.0,298.0,18.0,17.0,1.0,0.0
20200101,0.0,0.0,0.0,69.0,73.0,142.0,14073.0,13007.0,27080.0,1073.0,860.0,1933.0,8080.0,4.0,25.0,74.0,0.0,263.0,16.0,15.0,1.0,0.0
20200102,0.0,0.0,0.0,68.0,72.0,140.0,12902.0,12459.0,25361.0,1025.0,856.0,1881.0,18179.0,14.0,0.0,292.0,0.0,279.0,9.0,9.0,0.0,0.0
20200103,0.0,0.0,0.0,71.0,70.0,141.0,14591.0,11736.0,26327.0,973.0,592.0,1565.0,18180.0,9.0,16.0,210.0,1.0,385.0,18.0,17.0,1.0,0.0
20200104,0.0,0.0,0.0,76.0,70.0,146.0,15020.0,13841.0,28861.0,1504.0,842.0,2346.0,22219.0,18.0,17.0,295.0,2.0,246.0,7.0,7.0,0.0,0.0
20200105,0.0,0.0,0.0,63.0,73.0,136.0,14207.0,14345.0,28552.0,774.0,1118.0,1892.0,22220.0,11.0,26.0,217.0,14.0,201.0,4.0,4.0,0.0,0.0
20200106,0.0,0.0,0.0,69.0,71.0,140.0,14558.0,12934.0,27492.0,869.0,1146.0,2015.0,16160.0,8.0,22.0,154.0,1.0,333.0,6.0,4.0,2.0,0.0
20200107,0.0,0.0,0.0,75.0,71.0,146.0,13661.0,12521.0,26182.0,1362.0,829.0,2191.0,14140.0,8.0,0.0,131.0,0.0,385.0,8.0,6.0,2.0,0.0
20200108,0.0,0.0,0.0,78.0,75.0,153.0,13815.0,12351.0,26166.0,1464.0,915.0,2379.0,8080.0,4.0,14.0,74.0,0.0,485.0,25.0,22.0,3.0,0.0
20200109,0.0,0.0,0.0,71.0,78.0,149.0,13001.0,12931.0,25932.0,1201.0,1228.0,2429.0,22219.0,11.0,5.0,236.0,0.0,495.0,22.0,21.0,1.0,0.0
20200110,0.0,0.0,0.0,76.0,78.0,154.0,14507.0,12268.0,26775.0,1311.0,1137.0,2448.0,22220.0,11.0,23.0,227.0,2.0,444.0,20.0,18.0,2.0,0.0
20200111,0.0,0.0,0.0,73.0,78.0,151.0,14603.0,13245.0,27848.0,1367.0,1362.0,2729.0,16160.0,9.0,19.0,155.0,0.0,315.0,9.0,8.0,1.0,0.0
20200112,0.0,0.0,0.0,68.0,74.0,142.0,13935.0,13712.0,27647.0,1042.0,1185.0,2227.0,16160.0,8.0,0.0,169.0,1.0,193.0,6.0,6.0,0.0,0.0
20200113,0.0,0.0,0.0,77.0,77.0,154.0,13063.0,12769.0,25832.0,1467.0,1241.0,2708.0,20200.0,11.0,18.0,162.0,4.0,342.0,18.0,7.0,11.0,0.0
20200114,0.0,0.0,0.0,75.0,73.0,148.0,13042.0,13056.0,26098.0,1224.0,886.0,2110.0,30300.0,15.0,6.0,317.0,1.0,367.0,10.0,9.0,1.0,0.0
20200115,0.0,0.0,0.0,77.0,77.0,154.0,13820.0,12784.0,26604.0,1618.0,1127.0,2745.0,30300.0,16.0,45.0,274.0,5.0,521.0,34.0,34.0,0.0,0.0
20200116,0.0,0.0,0.0,72.0,77.0,149.0,13095.0,12548.0,25643.0,1382.0,1328.0,2710.0,16160.0,9.0,17.0,161.0,0.0,496.0,30.0,25.0,5.0,0.0
20200117,0.0,0.0,0.0,74.0,76.0,150.0,14370.0,12445.0,26815.0,1306.0,1095.0,2401.0,22220.0,11.0,33.0,222.0,3.0,495.0,28.0,24.0,4.0,0.0
20200118,0.0,0.0,0.0,74.0,76.0,150.0,14027.0,13400.0,27427.0,1616.0,1405.0,3021.0,14140.0,7.0,6.0,152.0,1.0,348.0,10.0,10.0,0.0,0.0
20200119,0.0,0.0,0.0,69.0,75.0,144.0,13757.0,14336.0,28093.0,1383.0,1173.0,2556.0,36360.0,20.0,53.0,343.0,0.0,321.0,6.0,6.0,0.0,0.0
20200120,0.0,0.0,0.0,73.0,75.0,148.0,13260.0,13417.0,26677.0,1223.0,1142.0,2365.0,18180.0,11.0,15.0,174.0,6.0,570.0,12.0,10.0,2.0,0.0
20200121,1.0,0.0,1.0,72.0,75.0,147.0,12967.0,12545.0,25512.0,1277.0,940.0,2217.0,8080.0,6.0,6.0,81.0,0.0,533.0,9.0,9.0,0.0,0.0
20200122,0.0,0.0,0.0,78.0,75.0,153.0,13803.0,11298.0,25101.0,1657.0,926.0,2583.0,12120.0,7.0,24.0,104.0,0.0,743.0,34.0,33.0,1.0,0.0
20200123,0.0,0.0,0.0,72.0,79.0,151.0,13569.0,11913.0,25482.0,1349.0,737.0,2086.0,18180.0,12.0,29.0,152.0,8.0,763.0,24.0,21.0,3.0,0.0
20200124,0.0,0.0,0.0,75.0,78.0,153.0,14603.0,10491.0,25094.0,1309.0,901.0,2210.0,16160.0,8.0,0.0,190.0,3.0,699.0,28.0,24.0,4.0,0.0
20200125,1.0,0.0,2.0,69.0,74.0,143.0,13900.0,10612.0,24512.0,1248.0,871.0,2119.0,4040.0,2.0,0.0,41.0,0.0,702.0,18.0,16.0,2.0,0.0
20200126,1.0,0.0,1.0,64.0,67.0,131.0,13565.0,12021.0,25586.0,820.0,793.0,1613.0,20200.0,10.0,8.0,205.0,0.0,707.0,26.0,24.0,2.0,0.0
20200127,3.0,0.0,5.0,68.0,66.0,134.0,13302.0,13355.0,26657.0,1000.0,873.0,1873.0,12120.0,6.0,10.0,120.0,0.0,770.0,34.0,28.0,6.0,0.0
20200128,1.0,0.0,2.0,65.0,65.0,130.0,12286.0,12880.0,25166.0,630.0,659.0,1289.0,20200.0,10.0,34.0,169.0,2.0,941.0,27.0,27.0,0.0,0.0
20200129,1.0,0.0,3.0,71.0,69.0,140.0,12404.0,12047.0,24451.0,1091.0,863.0,1954.0,18180.0,11.0,17.0,157.0,2.0,1206.0,32.0,24.0,8.0,0.0
20200130,0.0,0.0,0.0,65.0,68.0,133.0,11937.0,11403.0,23340.0,950.0,846.0,1796.0,18180.0,9.0,28.0,152.0,0.0,1067.0,38.0,31.0,7.0,0.0
20200131,1.0,0.0,6.0,69.0,69.0,138.0,12821.0,11531.0,24352.0,843.0,908.0,1751.0,20200.0,11.0,4.0,207.0,1.0,990.0,34.0,30.0,4.0,0.0
20200201,2.0,0.0,11.0,71.0,70.0,141.0,13184.0,12858.0,26042.0,1273.0,907.0,2180.0,12120.0,8.0,6.0,128.0,0.0,741.0,23.0,20.0,3.0,0.0
20200202,1.0,0.0,8.0,64.0,70.0,134.0,12460.0,13162.0,25622.0,662.0,853.0,1515.0,16160.0,10.0,2.0,174.0,0.0,899.0,17.0,14.0,3.0,0.0
20200203,3.0,0.0,11.0,69.0,72.0,141.0,12166.0,11932.0,24098.0,885.0,1043.0,1928.0,24240.0,14.0,8.0,254.0,0.0,991.0,22.0,17.0,5.0,0.0
20200204,0.0,0.0,0.0,70.0,66.0,136.0,11191.0,10935.0,22126.0,793.0,672.0,1465.0,28280.0,17.0,60.0,259.0,0.0,956.0,27.0,26.0,1.0,0.0
20200205,1.0,0.0,5.0,72.0,68.0,140.0,11288.0,11161.0,22449.0,1197.0,767.0,1964.0,14140.0,7.0,9.0,154.0,0.0,825.0,20.0,16.0,4.0,0.0
20200206,1.0,0.0,12.0,69.0,72.0,141.0,10905.0,10888.0,21793.0,929.0,857.0,1786.0,16160.0,10.0,22.0,164.0,2.0,643.0,27.0,20.0,7.0,0.0
20200207,2.0,0.0,7.0,70.0,68.0,138.0,11390.0,10335.0,21725.0,1031.0,1001.0,2032.0,22220.0,15.0,3.0,233.0,1.0,812.0,31.0,29.0,2.0,0.0
20200208,0.0,0.0,0.0,71.0,70.0,141.0,11594.0,11624.0,23218.0,1274.0,963.0,2237.0,10100.0,5.0,0.0,117.0,0.0,593.0,22.0,18.0,4.0,0.0
20200209,0.0,0.0,0.0,64.0,66.0,130.0,10768.0,11438.0,22206.0,654.0,879.0,1533.0,12120.0,8.0,0.0,128.0,0.0,869.0,16.0,14.0,2.0,0.0
20200210,0.0,0.0,0.0,68.0,70.0,138.0,11170.0,9750.0,20920.0,888.0,1030.0,1918.0,18180.0,12.0,27.0,163.0,2.0,839.0,22.0,18.0,4.0,0.0
20200211,1.0,0.0,13.0,71.0,67.0,138.0,9786.0,9504.0,19290.0,990.0,794.0,1784.0,20200.0,11.0,0.0,193.0,0.0,800.0,21.0,14.0,7.0,0.0
20200212,0.0,0.0,0.0,72.0,70.0,142.0,10585.0,9060.0,19645.0,1226.0,897.0,2123.0,24240.0,13.0,21.0,224.0,1.0,926.0,44.0,37.0,7.0,0.0
20200213,1.0,0.0,14.0,69.0,70.0,139.0,10537.0,10196.0,20733.0,1098.0,1065.0,2163.0,22220.0,18.0,18.0,210.0,3.0,827.0,29.0,23.0,6.0,0.0
20200214,1.0,0.0,15.0,69.0,69.0,138.0,10882.0,10019.0,20901.0,908.0,1109.0,2017.0,22220.0,13.0,3.0,222.0,0.0,819.0,12.0,9.0,3.0,0.0
20200215,1.0,0.0,8.0,69.0,74.0,143.0,10461.0,11511.0,21972.0,1150.0,1246.0,2396.0,20200.0,16.0,28.0,170.0,0.0,583.0,19.0,16.0,3.0,0.0
20200216,0.0,0.0,0.0,65.0,68.0,133.0,10059.0,11628.0,21687.0,945.0,1084.0,2029.0,14140.0,10.0,33.0,128.0,1.0,514.0,12.0,12.0,0.0,0.0
20200217,0.0,0.0,0.0,66.0,69.0,135.0,11004.0,10458.0,21462.0,971.0,1237.0,2208.0,8080.0,6.0,0.0,107.0,0.0,672.0,24.0,19.0,5.0,0.0
