Date,News_Daily_Total,News_Sum,News_Negative,News_Positive
20191201,159,12,7,5
20191202,339,66,36,30
20191203,376,52,30,22
20191204,440,40,28,12
20191205,433,49,26,23
20191206,379,36,29,7
20191207,183,12,10,2
20191208,151,9,8,1
20191209,308,29,20,9
20191210,354,35,31,4
20191211,404,28,20,8
20191212,314,49,41,8
20191213,302,23,17,6
20191214,243,9,8,1
20191215,144,6,6,0
20191216,266,32,21,11
20191217,343,24,19,5
20191218,351,27,21,6
20191219,347,34,19,15
20191220,364,51,42,9
20191221,190,10,8,2
20191222,145,6,4,2
20191223,235,17,13,4
20191224,264,18,13,5
20191225,248,5,5,0
20191226,189,14,14,0
20191227,269,20,11,9
20191228,187,5,4,1
20191229,116,4,3,1
20191230,169,9,6,3
20191231,298,18,13,5
20200101,263,11,10,1
20200102,279,16,11,5
20200103,385,34,34,0
20200104,246,3,3,0
20200105,201,6,5,1
20200106,333,23,15,8
20200107,385,15,13,2
20200108,485,21,12,9
20200109,495,17,11,6
20200110,444,22,18,4
20200111,315,4,4,0
20200112,193,5,5,0
20200113,342,12,9,3
20200114,367,15,12,3
20200115,521,25,20,5
20200116,496,31,24,7
20200117,495,20,17,3
20200118,348,12,11,1
20200119,321,7,7,0
20200120,570,19,13,6
20200121,533,10,7,3
20200122,743,25,22,3
20200123,763,29,22,7
20200124,699,33,28,5
20200125,702,10,8,2
20200126,707,10,9,1
20200127,770,38,30,8
20200128,941,38,33,5
20200129,1206,54,45,9
20200130,1067,68,59,9
20200131,990,45,31,14
20200201,741,19,8,11
20200202,899,14,12,2
20200203,991,71,35,36
20200204,956,32,25,7
20200205,825,40,33,7
20200206,643,42,31,11
20200207,812,28,22,6
20200208,593,14,12,2
20200209,869,32,29,3
20200210,839,37,26,11
20200211,800,23,19,4
20200212,926,29,19,10
20200213,827,33,20,13
20200214,819,32,25,7
20200215,583,24,20,4
20200216,514,12,11,1
20200217,672,19,19,0
20200218,573,25,17,8
20200219,202,16,11,5
20200220,162,19,13,6
20200221,131,5,4,1
20200222,138,7,5,2
20200223,136,3,2,1
20200224,728,23,15,8
20200225,675,29,23,6
20200226,846,28,19,9
20200227,527,38,32,6
20200228,833,68,59,9
20200229,731,17,17,0
20200301,439,8,5,3
20200302,734,79,64,15
20200303,822,62,42,20
20200304,876,66,47,19
20200305,806,75,56,19
20200306,859,66,50,16
20200307,634,15,10,5
20200308,519,19,9,10
20200309,681,75,60,15
20200310,791,47,41,6
20200311,783,75,53,22
20200312,739,75,61,14
20200313,647,88,71,17
20200314,308,35,27,8
20200315,153,56,49,7
20200316,186,109,82,27
20200317,90,36,20,16
20200318,36,5,5,0
20200319,39,7,5,2
20200320,31,1,1,0
20200321,32,3,3,0
20200322,17,2,2,0
20200323,56,8,8,0
20200324,472,51,40,11
20200325,1016,187,134,53
20200326,1057,224,162,62
20200327,1077,231,163,68
20200328,595,26,23,3
20200329,639,26,24,2
20200330,1092,160,112,48
20200331,1150,240,183,57
20200401,1426,249,202,47
20200402,1264,220,173,47
20200403,1336,208,179,29
20200404,943,57,49,8
20200405,1122,47,41,6
20200406,1416,213,176,37
20200407,1599,224,178,46
20200408,1778,223,179,44
20200409,1761,309,233,76
20200410,1585,186,153,33
20200411,1175,66,55,11
20200412,1093,22,17,5
20200413,1465,171,135,36
20200414,1540,213,175,38
20200415,1740,242,183,59
20200416,1676,253,211,42
20200417,1603,214,160,54
20200418,1150,80,66,14
20200419,1151,35,26,9
20200420,1798,244,190,54
20200421,1433,219,172,47
20200422,1861,236,193,43
20200423,2105,240,171,69
20200424,1885,241,186,55
20200425,1229,30,24,6
20200426,1249,42,37,5
20200427,1467,180,133,47
20200428,1084,214,155,59
20200429,1221,230,179,51
20200430,1384,189,147,42
20200501,1202,147,103,44
20200502,805,26,24,2
20200503,890,35,33,2
20200504,1418,225,164,61
20200505,881,208,155,53
