Date,News_Daily_Total,News_Sum,News_Negative,News_Positive
20191201,159,26,26,0
20191202,339,26,17,9
20191203,376,40,39,1
20191204,440,62,52,10
20191205,433,34,26,8
20191206,379,33,32,1
20191207,183,26,25,1
20191208,151,35,35,0
20191209,308,46,42,4
20191210,354,41,34,7
20191211,404,50,46,4
20191212,314,35,35,0
20191213,302,31,26,5
20191214,243,38,34,4
20191215,144,13,10,3
20191216,266,25,23,2
20191217,343,54,49,5
20191218,351,35,33,2
20191219,347,46,41,5
20191220,364,49,46,3
20191221,190,27,27,0
20191222,145,24,23,1
20191223,235,32,31,1
20191224,264,37,37,0
20191225,248,44,43,1
20191226,189,28,25,3
20191227,269,37,36,1
20191228,187,29,29,0
20191229,116,5,5,0
20191230,169,31,27,4
20191231,298,54,50,4
20200101,263,36,35,1
20200102,279,38,37,1
20200103,385,51,50,1
20200104,246,40,38,2
20200105,201,37,37,0
20200106,333,48,43,5
20200107,385,48,47,1
20200108,485,52,49,3
20200109,495,55,50,5
20200110,444,54,50,4
20200111,315,40,36,4
20200112,193,27,26,1
20200113,342,44,40,4
20200114,367,49,44,5
20200115,521,55,52,3
20200116,496,58,56,2
20200117,495,70,61,9
20200118,348,46,45,1
20200119,321,45,40,5
20200120,570,88,81,7
20200121,533,90,78,12
20200122,743,81,80,1
20200123,763,95,79,16
20200124,699,98,92,6
20200125,702,78,74,4
20200126,707,83,81,2
20200127,770,85,78,7
20200128,941,90,83,7
20200129,1206,93,88,5
20200130,1067,104,96,8
20200131,990,134,129,5
20200201,741,82,76,6
20200202,899,114,107,7
20200203,991,97,90,7
20200204,956,136,127,9
20200205,825,121,110,11
20200206,643,76,72,4
20200207,812,82,72,10
20200208,593,74,70,4
20200209,869,116,83,33
20200210,839,93,91,2
20200211,800,74,70,4
20200212,926,97,90,7
20200213,827,96,94,2
20200214,819,118,98,20
20200215,583,65,61,4
20200216,514,74,67,7
20200217,672,116,103,13
20200218,573,105,83,22
20200219,202,26,25,1
20200220,162,11,9,2
20200221,131,8,5,3
20200222,138,11,11,0
20200223,136,28,26,2
20200224,728,128,108,20
20200225,675,108,103,5
20200226,846,146,137,9
20200227,527,78,71,7
20200228,833,110,101,9
20200229,731,122,110,12
20200301,439,70,66,4
20200302,734,84,79,5
20200303,822,108,94,14
20200304,876,184,97,87
20200305,806,84,75,9
20200306,859,112,77,35
20200307,634,74,67,7
20200308,519,72,64,8
20200309,681,100,96,4
20200310,791,84,61,23
20200311,783,86,82,4
20200312,739,79,70,9
20200313,647,65,61,4
20200314,308,61,54,7
20200315,153,36,29,7
20200316,186,44,41,3
20200317,90,31,28,3
20200318,36,18,17,1
20200319,39,13,11,2
20200320,31,7,5,2
20200321,32,5,5,0
20200322,17,4,4,0
20200323,56,14,12,2
20200324,472,46,42,4
20200325,1016,99,84,15
20200326,1057,105,92,13
20200327,1077,121,108,13
20200328,595,96,85,11
20200329,639,65,62,3
20200330,1092,131,118,13
20200331,1150,116,104,12
20200401,1426,137,117,20
20200402,1264,129,120,9
20200403,1336,144,128,16
20200404,943,104,89,15
20200405,1122,78,71,7
20200406,1416,129,116,13
20200407,1599,157,126,31
20200408,1778,147,127,20
20200409,1761,196,159,37
20200410,1585,158,142,16
20200411,1175,99,88,11
20200412,1093,122,113,9
20200413,1465,120,112,8
20200414,1540,147,128,19
20200415,1740,126,115,11
20200416,1676,129,116,13
20200417,1603,126,110,16
20200418,1150,95,88,7
20200419,1151,114,104,10
20200420,1798,185,166,19
20200421,1433,118,108,10
20200422,1861,144,136,8
20200423,2105,138,123,15
20200424,1885,146,126,20
20200425,1229,89,79,10
20200426,1249,81,73,8
20200427,1467,93,86,7
20200428,1084,109,93,16
20200429,1221,118,99,19
20200430,1384,204,103,101
20200501,1202,120,107,13
20200502,805,81,77,4
20200503,890,124,94,30
20200504,1418,204,136,68
20200505,881,128,117,11
