Date,News_Daily_Total,News_Sum,News_Negative,News_Positive
20191201,159,90,79,11
20191202,339,203,169,34
20191203,376,230,201,29
20191204,440,257,230,27
20191205,433,306,275,31
20191206,379,242,207,35
20191207,183,131,112,19
20191208,151,94,90,4
20191209,308,217,200,17
20191210,354,224,198,26
20191211,404,250,230,20
20191212,314,189,174,15
20191213,302,200,161,39
20191214,243,164,147,17
20191215,144,111,99,12
20191216,266,189,165,24
20191217,343,204,179,25
20191218,351,222,202,20
20191219,347,210,194,16
20191220,364,202,172,30
20191221,190,124,111,13
20191222,145,100,89,11
20191223,235,165,149,16
20191224,264,183,172,11
20191225,248,136,127,9
20191226,189,118,105,13
20191227,269,170,144,26
20191228,187,127,116,11
20191229,116,81,73,8
20191230,169,106,98,8
20191231,298,161,144,17
20200101,263,130,123,7
20200102,279,169,150,19
20200103,385,236,223,13
20200104,246,159,144,15
20200105,201,114,104,10
20200106,333,209,193,16
20200107,385,255,237,18
20200108,485,296,266,30
20200109,495,318,289,29
20200110,444,283,257,26
20200111,315,187,173,14
20200112,193,118,102,16
20200113,342,222,199,23
20200114,367,236,208,28
20200115,521,318,294,24
20200116,496,306,279,27
20200117,495,279,257,22
20200118,348,185,170,15
20200119,321,202,185,17
20200120,570,309,282,27
20200121,533,280,264,16
20200122,743,381,360,21
20200123,763,366,335,31
20200124,699,306,281,25
20200125,702,312,290,22
20200126,707,259,228,31
20200127,770,335,299,36
20200128,941,446,415,31
20200129,1206,427,389,38
20200130,1067,401,362,39
20200131,990,362,325,37
20200201,741,305,283,22
20200202,899,261,233,28
20200203,991,290,268,22
20200204,956,347,314,33
20200205,825,282,250,32
20200206,643,194,167,27
20200207,812,286,263,23
20200208,593,226,201,25
20200209,869,296,260,36
20200210,839,305,259,46
20200211,800,335,310,25
20200212,926,370,328,42
20200213,827,312,261,51
20200214,819,332,304,28
20200215,583,203,179,24
20200216,514,207,189,18
20200217,672,252,215,37
20200218,573,208,186,22
20200219,202,120,116,4
20200220,162,113,109,4
20200221,131,94,94,0
20200222,138,84,79,5
20200223,136,63,58,5
20200224,728,307,283,24
20200225,675,248,229,19
20200226,846,288,250,38
20200227,527,158,141,17
20200228,833,241,223,18
20200229,731,284,248,36
20200301,439,143,124,19
20200302,734,223,195,28
20200303,822,262,225,37
20200304,876,264,230,34
20200305,806,273,250,23
20200306,859,303,266,37
20200307,634,269,235,34
20200308,519,220,148,72
20200309,681,242,220,22
20200310,791,311,286,25
20200311,783,292,266,26
20200312,739,222,180,42
20200313,647,144,115,29
20200314,308,26,22,4
20200315,153,28,24,4
20200316,186,4,4,0
20200317,90,4,4,0
20200318,36,2,2,0
20200319,39,4,4,0
20200320,31,6,5,1
20200321,32,1,1,0
20200322,17,0,0,0
20200323,56,2,2,0
20200324,472,296,278,18
20200325,1016,453,397,56
20200326,1057,384,348,36
20200327,1077,410,351,59
20200328,595,297,242,55
20200329,639,308,272,36
20200330,1092,492,461,31
20200331,1150,471,432,39
20200401,1426,698,561,137
20200402,1264,577,500,77
20200403,1336,633,546,87
20200404,943,456,362,94
20200405,1122,687,502,185
20200406,1416,694,570,124
20200407,1599,780,629,151
20200408,1778,922,725,197
20200409,1761,818,672,146
20200410,1585,813,660,153
20200411,1175,650,573,77
20200412,1093,596,511,85
20200413,1465,820,626,194
20200414,1540,724,604,120
20200415,1740,901,748,153
20200416,1676,830,666,164
20200417,1603,817,654,163
20200418,1150,623,544,79
20200419,1151,728,562,166
20200420,1798,979,684,295
20200421,1433,725,559,166
20200422,1861,1013,833,180
20200423,2105,1367,697,670
20200424,1885,1111,836,275
20200425,1229,751,534,217
20200426,1249,878,519,359
20200427,1467,893,609,284
20200428,1084,434,393,41
20200429,1221,513,424,89
20200430,1384,545,468,77
20200501,1202,533,495,38
20200502,805,370,298,72
20200503,890,476,378,98
20200504,1418,589,441,148
20200505,881,241,232,9
